Network,NTPminusSYS,SNTPminusSYS,Delay,RuntimeNTPOrder,PPStoUART,Sats
WiFi,-0.644,-6.227,15.822,NTPfirst,185269.0,8
WiFi,1.09,-8.393,18.441,NTPfirst,178312.0,7
WiFi,1.076,-8.379,18.648,NTPfirst,175284.0,7
WiFi,-91.18,-248.482,451.025,NTPfirst,163800.0,6
WiFi,-1.145,-9.264,17.924,NTPfirst,184849.0,7
WiFi,1.36,-6.729,18.737,NTPfirst,184648.0,8
WiFi,1.233,,20.583,NTPfirst,155728.0,7
WiFi,0.633,-7.528,16.47,NTPfirst,113746.0,5
WiFi,0.375,-18.468,36.93,NTPfirst,195190.0,7
WiFi,2.304,-6.601,21.238,NTPfirst,183562.0,6
WiFi,-0.59,-4.995,12.956,NTPfirst,153547.0,8
WiFi,4.103,-9.247,23.888,NTPfirst,161575.0,10
WiFi,0.424,-7.293,14.498,NTPfirst,196553.0,6
WiFi,-0.321,-6.885,15.747,NTPfirst,109384.0,5
WiFi,1.477,-9.097,20.708,NTPfirst,204126.0,6
WiFi,2.393,,19.354,NTPfirst,198771.0,6
WiFi,0.351,-11.392,22.716,NTPfirst,196792.0,7
WiFi,-0.032,,15.677,NTPfirst,130495.0,5
WiFi,0.511,-7.748,14.235,NTPfirst,184408.0,6
WiFi,-38.62,-171.611,165.48,NTPfirst,108635.0,4
WiFi,-19.096,-215.804,132.788,NTPfirst,205517.0,6
WiFi,1.717,-6.364,20.6,NTPfirst,184222.0,6
WiFi,3.895,-5.797,21.175,NTPfirst,207634.0,7
WiFi,-3.902,-6.971,17.277,NTPfirst,179750.0,6
WiFi,-0.614,-10.327,16.687,NTPfirst,196501.0,6
WiFi,2.723,-1.988,11.17,NTPfirst,204540.0,7
WiFi,-0.56,-7.419,17.696,NTPfirst,112412.0,5
WiFi,-2.521,-15.536,21.119,NTPfirst,188075.0,8
WiFi,-7.134,-14.23,33.72,NTPfirst,180135.0,7
WiFi,-1.167,-14.064,22.641,NTPfirst,155053.0,6
WiFi,0.535,-4.804,10.9,NTPfirst,177025.0,7
WiFi,-1.911,-13.221,19.105,NTPfirst,186123.0,8
