networkClass,connectivity,timeDifferenceTo1PPSms
Broadband,WiFi,0.41
Broadband,WiFi,-2.223
Broadband,WiFi,0.459
Broadband,WiFi,1.362
Broadband,WiFi,0.602
Broadband,WiFi,-1.698
Broadband,WiFi,-0.033
Broadband,WiFi,2.359
Broadband,WiFi,1.484
Broadband,WiFi,-2.709
Broadband,WiFi,1.017
Broadband,WiFi,0.528
Broadband,WiFi,1.849
Broadband,WiFi,1.539
Broadband,WiFi,3.848
Broadband,WiFi,0.455
Broadband,WiFi,-0.418
Broadband,WiFi,0.082
Broadband,WiFi,-0.341
Broadband,WiFi,-1.301
Broadband,WiFi,-0.078
Broadband,WiFi,-0.406
Broadband,WiFi,1.073
Broadband,WiFi,1.372
Broadband,WiFi,1.796
Broadband,WiFi,-0.455
Broadband,WiFi,-1.609
Broadband,WiFi,-1.426
Broadband,WiFi,-2.887
Broadband,WiFi,-0.36
Broadband,WiFi,-3.204
Broadband,WiFi,-2.121
Broadband,WiFi,4.659
Broadband,WiFi,-5.243
Broadband,WiFi,1.766
Broadband,WiFi,1.161
Broadband,WiFi,2.436
Broadband,WiFi,-1.137
Broadband,WiFi,-2.48
Broadband,WiFi,-2.501
Broadband,WiFi,-0.449
Broadband,WiFi,0.035
Broadband,WiFi,-0.025
Broadband,WiFi,0.445
Broadband,WiFi,-0.941
Broadband,WiFi,1.165
Broadband,WiFi,-1.733
Broadband,WiFi,-0.282
Broadband,WiFi,4.581
Broadband,WiFi,0.842
Broadband,WiFi,-1.7
Broadband,WiFi,-0.167
Broadband,WiFi,0.028
Broadband,WiFi,-0.561
Broadband,WiFi,1.046
Broadband,WiFi,-1.425
Broadband,WiFi,0.754
Broadband,WiFi,1.579
Broadband,WiFi,7.17
Broadband,WiFi,0.465
Broadband,WiFi,-1.684
Broadband,WiFi,-0.145
Broadband,WiFi,2.228
Broadband,WiFi,0.15
Broadband,WiFi,-0.408
Broadband,WiFi,0.319
Broadband,WiFi,-1.254
Broadband,WiFi,-0.677
Broadband,WiFi,-1.336
Broadband,WiFi,-0.54
Broadband,WiFi,-0.519
Broadband,WiFi,11.043
Broadband,WiFi,3.688
Broadband,WiFi,-25.375
Broadband,WiFi,3.075
Broadband,WiFi,2.312
Broadband,WiFi,-2.769
Broadband,WiFi,-3.981
Broadband,WiFi,-1.556
Broadband,WiFi,1.585
Broadband,WiFi,-5.794
Broadband,WiFi,1.106
Broadband,WiFi,-0.621
Broadband,WiFi,-3.239
Broadband,WiFi,0.397
Broadband,WiFi,-0.676
Broadband,WiFi,0.643
Broadband,WiFi,-0.332
Broadband,WiFi,0.101
Broadband,WiFi,-1.237
Broadband,WiFi,-1.297
Broadband,WiFi,-0.023
Broadband,WiFi,1.438
Broadband,WiFi,-3.217
Broadband,WiFi,-2.222
Broadband,WiFi,1.312
Broadband,WiFi,3.048
Broadband,WiFi,2.406
Broadband,WiFi,-0.641
Broadband,WiFi,0.951
Broadband,WiFi,-2.894
Broadband,WiFi,-0.123
Broadband,WiFi,-0.064
Broadband,WiFi,0.784
Broadband,WiFi,1.708
Broadband,WiFi,-3.524
Broadband,WiFi,1.662
Broadband,WiFi,1.267
Broadband,WiFi,-4.692
Broadband,WiFi,0.63
Broadband,WiFi,-0.326
Broadband,WiFi,0.139
Broadband,WiFi,-13.538
Broadband,WiFi,0.038
Broadband,WiFi,-0.106
Broadband,WiFi,-1.806
Broadband,WiFi,0.08
Broadband,WiFi,0.378
Broadband,WiFi,-1.343
Broadband,WiFi,-1.457
Broadband,WiFi,0.887
Broadband,WiFi,9.677
Broadband,WiFi,2.687
Broadband,WiFi,2.301
Broadband,WiFi,7.591
Broadband,WiFi,-1.59
Broadband,WiFi,3.645
Broadband,WiFi,0.647
Broadband,WiFi,-2.236
Broadband,WiFi,-2.445
Broadband,WiFi,-0.238
Broadband,WiFi,0.506
Broadband,WiFi,-0.329
Broadband,WiFi,-0.28
Broadband,WiFi,0.869
Broadband,WiFi,2.407
Broadband,WiFi,-0.04
Broadband,WiFi,0.647
Broadband,WiFi,-50.338
Broadband,WiFi,-1.053
Broadband,WiFi,0.404
Broadband,WiFi,-3.084
Broadband,WiFi,3.249
Broadband,WiFi,1.625
Broadband,WiFi,-0.538
Broadband,WiFi,-1.254
Broadband,WiFi,-0.223
Broadband,WiFi,-3.603
Broadband,WiFi,-2.421
Broadband,WiFi,0.762
Broadband,WiFi,-0.017
Broadband,WiFi,-0.179
Broadband,WiFi,0.061
Broadband,WiFi,-75.414
Broadband,WiFi,2.66
Broadband,WiFi,3.113
Broadband,WiFi,-0.694
Broadband,WiFi,-1.679
Broadband,WiFi,-57.834
Broadband,WiFi,-56.872
Broadband,WiFi,-0.228
Broadband,WiFi,-10.83
Broadband,WiFi,-9.412
Broadband,WiFi,-40.904
Broadband,WiFi,-0.748
Broadband,WiFi,0.036
Broadband,WiFi,-1.235
Broadband,WiFi,0.593
Broadband,WiFi,0.797
Broadband,WiFi,1.828
Broadband,WiFi,-0.116
Broadband,WiFi,-90.587
Broadband,WiFi,-62.876
Broadband,WiFi,-0.129
Broadband,WiFi,-32.246
Broadband,WiFi,-1.14
Broadband,WiFi,0.212
Broadband,WiFi,2.099
Broadband,WiFi,4.35
Broadband,WiFi,1.617
Broadband,WiFi,-0.823
Broadband,WiFi,0.866
Broadband,WiFi,0.663
Broadband,WiFi,0.836
Broadband,WiFi,0.305
Broadband,WiFi,0.344
Broadband,WiFi,-0.846
Broadband,WiFi,-0.056
Broadband,WiFi,-0.036
Broadband,WiFi,-1.504
Broadband,WiFi,4.044
Broadband,WiFi,-0.802
Broadband,WiFi,5.586
Broadband,WiFi,-1.31
Broadband,WiFi,-0.362
Broadband,WiFi,0.425
Broadband,WiFi,1.607
Broadband,WiFi,0.367
Broadband,WiFi,0.464
Broadband,WiFi,-0.122
Broadband,WiFi,0.793
Broadband,WiFi,0.748
Broadband,WiFi,0.395
Broadband,WiFi,-2.701
Broadband,WiFi,0.01
Broadband,WiFi,-2.053
Broadband,WiFi,0.33
Broadband,WiFi,2.362
Broadband,WiFi,0.079
Broadband,WiFi,1.579
Broadband,WiFi,2.637
Broadband,WiFi,0.522
Broadband,WiFi,1.272
Broadband,WiFi,0.497
Broadband,WiFi,0.005
Broadband,WiFi,-0.202
Broadband,WiFi,-1.757
Broadband,WiFi,0.645
Broadband,WiFi,0.616
Broadband,WiFi,-0.708
Broadband,WiFi,-0.51
Broadband,WiFi,-4.689
Broadband,WiFi,-3.766
Broadband,WiFi,0.664
Broadband,WiFi,0.671
Broadband,WiFi,-1.724
Broadband,WiFi,15.074
Broadband,WiFi,-0.957
Broadband,WiFi,0.093
Broadband,WiFi,0.268
Broadband,WiFi,0.075
Broadband,WiFi,1.637
Broadband,WiFi,-0.938
Broadband,WiFi,0.219
Broadband,WiFi,-0.272
Broadband,WiFi,-0.05
Broadband,WiFi,-0.18
Broadband,WiFi,-0.699
Broadband,WiFi,-0.12
Broadband,WiFi,-0.969
Broadband,WiFi,-0.998
Broadband,WiFi,1.378
Broadband,WiFi,-0.91
Broadband,WiFi,-1.341
Broadband,WiFi,-0.866
Broadband,WiFi,-0.044
Broadband,WiFi,-0.626
Broadband,WiFi,0.602
Broadband,WiFi,-0.195
Broadband,WiFi,-2.097
Broadband,WiFi,-3.659
Broadband,WiFi,-0.092
Broadband,WiFi,0.428
Broadband,WiFi,-0.061
Broadband,WiFi,-0.151
Broadband,WiFi,-1.673
Broadband,WiFi,-3.808
Broadband,WiFi,2.936
Broadband,WiFi,-3.618
Broadband,WiFi,-100.621
Broadband,WiFi,-82.567
Broadband,WiFi,0.725
Broadband,WiFi,0.081
Broadband,WiFi,0.056
Broadband,WiFi,-31.538
Broadband,WiFi,-59.468
Broadband,WiFi,-0.415
Broadband,WiFi,-0.168
Broadband,WiFi,-0.239
Broadband,WiFi,-3.053
Broadband,WiFi,-0.238
Broadband,WiFi,0.15
Broadband,WiFi,-2.263
Broadband,WiFi,-1.571
Broadband,WiFi,0.312
Broadband,WiFi,-3.621
Broadband,WiFi,-1.974
Broadband,WiFi,0.509
Broadband,WiFi,0.597
Broadband,WiFi,-0.406
Broadband,WiFi,-0.18
Broadband,WiFi,2.318
Broadband,WiFi,-0.078
Broadband,WiFi,-0.08
Broadband,WiFi,0.771
Broadband,WiFi,1.737
Broadband,WiFi,-101.122
Broadband,WiFi,-75.879
Broadband,WiFi,0.475
Broadband,WiFi,0.513
Broadband,WiFi,-1.525
Broadband,WiFi,-51.822
Broadband,WiFi,-106.48
Broadband,WiFi,0.456
Broadband,WiFi,0.449
Broadband,WiFi,-7.74
Broadband,WiFi,1.059
Broadband,WiFi,11.399
Broadband,WiFi,-2.12
Broadband,WiFi,-0.759
Broadband,WiFi,2.675
Broadband,WiFi,0.558
Broadband,WiFi,-0.234
Broadband,WiFi,0.194
Broadband,WiFi,-2.998
Broadband,WiFi,3.849
Broadband,WiFi,-0.046
Broadband,WiFi,-0.404
Broadband,WiFi,2.146
Broadband,WiFi,0.585
Broadband,WiFi,0.136
Broadband,WiFi,-76.249
Broadband,WiFi,2.899
Broadband,WiFi,2.21
Broadband,WiFi,-60.847
Broadband,WiFi,-12.012
Broadband,WiFi,1.92
Broadband,WiFi,4.176
Broadband,WiFi,0.981
Broadband,WiFi,-18.623
Broadband,WiFi,-40.199
Broadband,WiFi,0.085
Broadband,WiFi,3.228
Broadband,WiFi,-1.985
Broadband,WiFi,-0.265
Broadband,WiFi,0.077
Broadband,WiFi,-2.75
Broadband,WiFi,3.814
Broadband,WiFi,1.077
Broadband,WiFi,-0.876
Broadband,WiFi,-4.657
Broadband,WiFi,-46.156
Broadband,WiFi,0.072
Broadband,WiFi,-0.205
Broadband,WiFi,1.306
Broadband,WiFi,-0.261
Broadband,WiFi,-1.78
Broadband,WiFi,0.71
Broadband,WiFi,5.391
Broadband,WiFi,3.3
Broadband,WiFi,-0.919
Broadband,WiFi,-0.126
Broadband,WiFi,3.716
Broadband,WiFi,-0.944
Broadband,WiFi,4.366
Broadband,WiFi,4.462
Broadband,WiFi,-49.809
Broadband,WiFi,-1.466
Broadband,WiFi,1.854
Broadband,WiFi,1.016
Broadband,WiFi,9.493
Broadband,WiFi,5.533
Broadband,WiFi,3.991
Broadband,WiFi,-56.001
Broadband,WiFi,-0.775
Broadband,WiFi,-1.863
Broadband,WiFi,2.159
Broadband,WiFi,3.707
Broadband,WiFi,1.537
Broadband,WiFi,0.747
Broadband,WiFi,4.803
Broadband,WiFi,36.235
Broadband,WiFi,-0.863
Broadband,WiFi,4.073
Broadband,WiFi,3.067
Broadband,WiFi,2.994
Broadband,WiFi,-0.732
Broadband,WiFi,3.193
Broadband,WiFi,-1.08
Broadband,WiFi,-1.965
Broadband,WiFi,1.772
Broadband,WiFi,0.468
Broadband,WiFi,0.253
Broadband,WiFi,-2.564
Broadband,WiFi,0.771
Broadband,WiFi,0.581
Broadband,WiFi,-1.199
Broadband,WiFi,0.401
Broadband,WiFi,-0.116
Broadband,WiFi,-77.072
Broadband,WiFi,-62.756
Broadband,WiFi,-2.461
Broadband,WiFi,-1.718
Broadband,WiFi,-0.678
Broadband,WiFi,-0.084
Broadband,WiFi,0.283
Broadband,WiFi,-0.015
Broadband,WiFi,-2.013
Broadband,WiFi,4.819
Broadband,WiFi,0.596
Broadband,WiFi,1.728
Broadband,WiFi,0.388
Broadband,WiFi,0.27
Broadband,WiFi,-0.27
Broadband,WiFi,0.294
Broadband,WiFi,-0.102
Broadband,WiFi,1.11
Broadband,WiFi,-0.16
Broadband,WiFi,59.504
Broadband,WiFi,3.04
Broadband,WiFi,1.343
Broadband,WiFi,-0.123
Broadband,WiFi,-1.242
Broadband,WiFi,1.252
Broadband,WiFi,-0.246
Broadband,WiFi,0.471
Broadband,WiFi,0.571
Broadband,WiFi,1.718
Broadband,WiFi,0.923
Broadband,WiFi,-0.136
Broadband,WiFi,1.962
Broadband,WiFi,0.215
Broadband,WiFi,1.294
Broadband,WiFi,-0.254
Broadband,WiFi,0.594
Broadband,WiFi,0.073
Broadband,WiFi,-1.895
Broadband,WiFi,-1.402
Broadband,WiFi,0.195
Broadband,WiFi,-0.61
Broadband,WiFi,1.45
Broadband,WiFi,4.172
Broadband,WiFi,1.394
Broadband,WiFi,2.907
Broadband,WiFi,-10.316
Broadband,WiFi,-14.955
Broadband,WiFi,-0.812
Broadband,WiFi,0.453
Broadband,WiFi,0.526
Broadband,WiFi,-1.353
Broadband,WiFi,-0.097
Broadband,WiFi,0.072
Broadband,WiFi,1.129
Broadband,WiFi,0.036
Broadband,WiFi,-0.389
Broadband,WiFi,2.645
Broadband,WiFi,-21.347
Broadband,WiFi,-0.042
Broadband,WiFi,-0.112
Broadband,WiFi,1.703
Broadband,WiFi,2.471
Broadband,WiFi,2.609
Broadband,WiFi,0.993
Broadband,WiFi,3.177
Broadband,WiFi,-0.187
Broadband,WiFi,-1.525
Broadband,WiFi,-6.924
Broadband,WiFi,3.934
Broadband,WiFi,0.706
Broadband,WiFi,0.844
Broadband,WiFi,52.137
Broadband,WiFi,2.147
Broadband,WiFi,4.451
Broadband,WiFi,-16.027
Broadband,WiFi,1.023
Broadband,WiFi,-13.913
Broadband,WiFi,6.855
Broadband,WiFi,7.042
Broadband,WiFi,3.911
Broadband,WiFi,-54.463
Broadband,WiFi,1.148
Broadband,WiFi,4.814
Broadband,WiFi,4.925
Broadband,WiFi,-38.112
Broadband,WiFi,0.988
Broadband,WiFi,-0.021
Broadband,WiFi,1.091
Broadband,WiFi,-0.554
Broadband,WiFi,3.262
Broadband,WiFi,2.894
Broadband,WiFi,-0.018
Broadband,WiFi,6.261
Broadband,WiFi,0.022
Broadband,WiFi,3.783
Broadband,WiFi,3.772
Broadband,WiFi,-1.5
Broadband,WiFi,0.555
Broadband,WiFi,1.359
Broadband,WiFi,5.057
Broadband,WiFi,3.38
Broadband,WiFi,4.317
Broadband,WiFi,0.957
Broadband,WiFi,3.729
Broadband,WiFi,-12.757
Broadband,WiFi,3.417
Broadband,WiFi,-0.87
Broadband,WiFi,10.844
Broadband,WiFi,-2.813
Broadband,WiFi,3.643
Broadband,WiFi,3.566
Broadband,WiFi,1.686
Broadband,WiFi,4.482
Broadband,WiFi,-1.43
Broadband,WiFi,1.977
Broadband,WiFi,5.166
Broadband,WiFi,3.684
Broadband,WiFi,1.679
Broadband,WiFi,3.684
Broadband,WiFi,-0.163
Broadband,WiFi,-81.313
Broadband,WiFi,4.097
Broadband,WiFi,2.578
Broadband,WiFi,0.553
Broadband,WiFi,-0.05
Broadband,WiFi,-0.104
Broadband,WiFi,84.068
Broadband,WiFi,
Broadband,WiFi,7.656
Broadband,WiFi,-0.342
Broadband,WiFi,-1.262
Broadband,WiFi,-1.415
Broadband,WiFi,3.745
Broadband,WiFi,2.963
Broadband,WiFi,0.744
Broadband,WiFi,1.212
Broadband,WiFi,3.671
Broadband,WiFi,-7.041
Broadband,WiFi,2.727
Broadband,WiFi,3.105
Broadband,WiFi,-1.482
Broadband,WiFi,2.291
Broadband,WiFi,33.287
Broadband,WiFi,-3.015
Broadband,WiFi,-1.116
Broadband,WiFi,2.758
Broadband,WiFi,0.121
Broadband,WiFi,2.514
Broadband,WiFi,0.573
Broadband,WiFi,1.071
Broadband,WiFi,0.712
Broadband,WiFi,-0.27
Broadband,WiFi,-1.213
Broadband,WiFi,-0.016
Broadband,WiFi,-0.184
Broadband,WiFi,3.723
Broadband,WiFi,-0.656
Broadband,WiFi,-1.35
Broadband,WiFi,4.42
Broadband,WiFi,1.051
Broadband,WiFi,-29.575
Broadband,WiFi,-41.341
Broadband,WiFi,-1.16
Broadband,WiFi,4.412
Broadband,WiFi,-2.118
Broadband,WiFi,1.252
Broadband,WiFi,5.344
Broadband,WiFi,1.398
Broadband,WiFi,-0.039
Broadband,WiFi,-13.974
Broadband,WiFi,4.215
Broadband,WiFi,0.669
Broadband,WiFi,-0.406
Broadband,WiFi,0.6
Broadband,WiFi,3.047
Broadband,WiFi,0.121
Broadband,WiFi,-0.676
Broadband,WiFi,-0.58
Broadband,WiFi,0.008
Broadband,WiFi,-0.058
Broadband,WiFi,0.596
Broadband,WiFi,1.133
Broadband,WiFi,-29.11
Broadband,WiFi,-6.087
Broadband,WiFi,3.084
Broadband,WiFi,-0.393
Broadband,WiFi,-0.234
Broadband,WiFi,2.009
Broadband,WiFi,-0.653
Broadband,WiFi,-0.638
Broadband,WiFi,0.142
Broadband,WiFi,0.844
Broadband,WiFi,0.579
Broadband,WiFi,4.034
Broadband,WiFi,0.57
Broadband,WiFi,-0.835
Broadband,WiFi,-63.789
Broadband,WiFi,1.024
Broadband,WiFi,2.763
Broadband,WiFi,-1.297
Broadband,WiFi,-3.18
Broadband,WiFi,2.165
Broadband,WiFi,0.867
Broadband,WiFi,2.144
Broadband,WiFi,1.471
Broadband,WiFi,0.508
Broadband,WiFi,0.636
Broadband,WiFi,-1.025
Broadband,WiFi,-0.673
Broadband,WiFi,0.455
Broadband,WiFi,-0.653
Broadband,WiFi,3.698
Broadband,WiFi,5.215
Broadband,WiFi,-2.812
Broadband,WiFi,-2.086
Broadband,WiFi,-1.67
Broadband,WiFi,-37.544
Broadband,WiFi,-0.954
Broadband,WiFi,-0.911
Broadband,WiFi,0.486
Broadband,WiFi,0.51
Broadband,WiFi,-2.441
Broadband,WiFi,-5.895
Broadband,WiFi,-0.469
Broadband,WiFi,0.087
Broadband,WiFi,-1.038
Broadband,WiFi,-0.985
Broadband,WiFi,-0.92
Broadband,WiFi,0.982
Broadband,WiFi,-1.708
Broadband,WiFi,-1.777
Broadband,WiFi,-0.975
Broadband,WiFi,0.042
Broadband,WiFi,-2.023
Broadband,WiFi,-0.551
Broadband,WiFi,-0.285
Broadband,WiFi,-0.034
Broadband,WiFi,-0.112
Broadband,WiFi,-0.357
Broadband,WiFi,-1.644
Broadband,WiFi,-5.62
Broadband,WiFi,-1.234
Broadband,WiFi,-0.829
Broadband,WiFi,-2.358
Broadband,WiFi,0.429
Broadband,WiFi,0.757
Broadband,WiFi,0.424
Broadband,WiFi,1.356
Broadband,WiFi,0.035
Broadband,WiFi,-4.797
Broadband,WiFi,6.537
Broadband,WiFi,0.964
Broadband,WiFi,-0.108
Broadband,WiFi,-0.936
Broadband,WiFi,-0.151
Broadband,WiFi,0.272
Broadband,WiFi,0.837
Broadband,WiFi,0.037
Broadband,WiFi,0.266
Broadband,WiFi,-1.412
Broadband,WiFi,0.767
Broadband,WiFi,-7.343
Broadband,WiFi,-0.396
Broadband,WiFi,-2.493
Broadband,WiFi,-3.419
Broadband,WiFi,3.582
Broadband,WiFi,1.411
Broadband,WiFi,5.511
Broadband,WiFi,-1.321
Broadband,WiFi,-3.647
Broadband,WiFi,-3.989
Broadband,WiFi,-1.517
Broadband,WiFi,-1.592
Broadband,WiFi,-2.346
Broadband,WiFi,0.018
Broadband,WiFi,-0.683
Broadband,WiFi,-3.723
Broadband,WiFi,-1.718
Broadband,WiFi,0.973
Broadband,WiFi,0.124
Broadband,WiFi,-2.592
Broadband,WiFi,-0.651
Broadband,WiFi,-0.488
Broadband,WiFi,-2.964
Broadband,WiFi,-2.159
Broadband,WiFi,0.771
Broadband,WiFi,1.495
Broadband,WiFi,6.371
Broadband,WiFi,-2.189
Broadband,WiFi,-2.074
Broadband,WiFi,-1.87
Broadband,WiFi,0.584
Broadband,WiFi,-71.601
Broadband,WiFi,-86.471
Broadband,WiFi,-1.737
Broadband,WiFi,-1.204
Broadband,WiFi,-1.927
Broadband,WiFi,-1.212
Broadband,WiFi,0.29
Broadband,WiFi,0.123
Broadband,WiFi,0.835
Broadband,WiFi,-0.908
Broadband,WiFi,-0.334
Broadband,WiFi,4.907
Broadband,WiFi,4.159
Broadband,WiFi,0.308
Broadband,WiFi,2.629
Broadband,WiFi,1.175
Broadband,WiFi,3.044
Broadband,WiFi,1.94
Broadband,WiFi,1.354
Broadband,WiFi,11.202
Broadband,WiFi,-0.961
Broadband,WiFi,0.316
Broadband,WiFi,0.486
Broadband,WiFi,-0.12
Broadband,WiFi,-0.136
Broadband,WiFi,-1.647
Broadband,WiFi,-2.03
Broadband,WiFi,-4.572
Broadband,WiFi,-2.453
Broadband,WiFi,0.611
Broadband,WiFi,6.124
Broadband,WiFi,1.782
Broadband,WiFi,-0.118
Broadband,WiFi,-0.054
Broadband,WiFi,3.128
Broadband,WiFi,-0.021
Broadband,WiFi,-0.746
Broadband,WiFi,0.34
Broadband,WiFi,0.662
Broadband,WiFi,4.444
Broadband,WiFi,0.691
Broadband,WiFi,-1.9
Broadband,WiFi,-0.247
Broadband,WiFi,-2.829
Broadband,WiFi,-2.369
Broadband,WiFi,-0.715
Broadband,WiFi,-0.223
Broadband,WiFi,1.985
Broadband,WiFi,-1.891
Broadband,WiFi,0.342
Broadband,WiFi,0.834
Broadband,WiFi,-0.049
Broadband,WiFi,0.009
Broadband,WiFi,-0.3
Broadband,WiFi,0.226
Broadband,WiFi,-3.702
Broadband,WiFi,2.691
Broadband,WiFi,4.505
Broadband,WiFi,1.943
Broadband,WiFi,-3.612
Broadband,WiFi,-0.836
Broadband,WiFi,0.758
Broadband,WiFi,4.353
Broadband,WiFi,1.708
Broadband,WiFi,-1.578
Broadband,WiFi,-0.713
Broadband,WiFi,1.718
Broadband,WiFi,-0.952
Broadband,WiFi,0.448
Broadband,WiFi,2.091
Broadband,WiFi,3.271
Broadband,WiFi,0.324
Broadband,WiFi,0.461
Broadband,WiFi,0.52
Broadband,WiFi,3.778
Broadband,WiFi,-0.129
Broadband,WiFi,-70.089
Broadband,WiFi,-44.052
Broadband,WiFi,1.299
Broadband,WiFi,0.984
Broadband,WiFi,-1.348
Broadband,WiFi,1.72
Broadband,WiFi,-0.644
Broadband,WiFi,0.113
Broadband,WiFi,0.364
Broadband,WiFi,0.446
Broadband,WiFi,0.449
Broadband,WiFi,-1.977
Broadband,WiFi,-0.558
Broadband,WiFi,0.589
Broadband,WiFi,-44.77
Broadband,WiFi,-6.454
Broadband,WiFi,-1.268
Broadband,WiFi,-1.72
Broadband,WiFi,0.579
Broadband,WiFi,-0.122
Broadband,WiFi,31.2
Broadband,WiFi,2.012
Broadband,WiFi,0.091
Broadband,WiFi,3.434
Broadband,WiFi,-1.011
Broadband,WiFi,-0.132
Broadband,WiFi,2.045
Broadband,WiFi,-0.263
Broadband,WiFi,-105.193
Broadband,WiFi,
Broadband,WiFi,-0.845
Broadband,WiFi,3.256
Broadband,WiFi,3.149
Broadband,WiFi,3.076
Broadband,WiFi,0.931
Broadband,WiFi,-0.617
Broadband,WiFi,2.062
Broadband,WiFi,1.752
Broadband,WiFi,-2.681
Broadband,WiFi,-3.806
Broadband,WiFi,0.853
Broadband,WiFi,-0.256
Broadband,WiFi,-26.272
Broadband,WiFi,5.138
Broadband,WiFi,-0.1
Broadband,WiFi,0.469
Broadband,WiFi,-0.574
Broadband,WiFi,0.959
Broadband,WiFi,0.011
Broadband,WiFi,-2.247
Broadband,WiFi,-84.591
Broadband,WiFi,1.233
Broadband,WiFi,0.112
Broadband,WiFi,4.655
Broadband,WiFi,0.347
Broadband,WiFi,-12.614
Broadband,WiFi,2.376
Broadband,WiFi,-4.903
Broadband,WiFi,2.665
Broadband,WiFi,-3.896
Broadband,WiFi,-0.552
Broadband,WiFi,-1.164
Broadband,WiFi,-0.447
Broadband,WiFi,0.494
Broadband,WiFi,0.138
Broadband,WiFi,-0.055
Broadband,WiFi,-1.001
Broadband,WiFi,-3.144
Broadband,WiFi,0.016
Broadband,WiFi,3.654
Broadband,WiFi,-0.194
Broadband,WiFi,-0.118
Broadband,WiFi,-3.132
Broadband,WiFi,-0.844
Broadband,WiFi,-0.02
Broadband,WiFi,0.06
Broadband,WiFi,0.627
Broadband,WiFi,1.842
Broadband,WiFi,-1.152
Broadband,WiFi,-0.334
Broadband,WiFi,-1.478
Broadband,WiFi,-1.439
Broadband,WiFi,0.126
Broadband,WiFi,-1.839
Broadband,WiFi,3.885
Broadband,WiFi,2.089
Broadband,WiFi,-0.102
Broadband,WiFi,-1.027
Broadband,WiFi,1.438
Broadband,WiFi,2.519
Broadband,WiFi,6.64
Broadband,WiFi,2.01
Broadband,WiFi,-3.198
Broadband,WiFi,0.696
Broadband,WiFi,-3.652
Broadband,WiFi,0.601
Broadband,WiFi,-0.124
Broadband,WiFi,0.615
Broadband,WiFi,-1.502
Broadband,WiFi,-2.482
Broadband,WiFi,-0.938
Broadband,WiFi,0.394
Broadband,WiFi,1.208
Broadband,WiFi,2.447
Broadband,WiFi,0.446
Broadband,WiFi,0.367
Broadband,WiFi,0.095
Broadband,WiFi,0.433
Broadband,WiFi,1.644
Broadband,WiFi,0.279
Broadband,WiFi,-0.471
Broadband,WiFi,1.681
Broadband,WiFi,-55.243
Broadband,WiFi,-3.535
Broadband,WiFi,0.001
Broadband,WiFi,-11.574
Broadband,WiFi,-1.0
Broadband,WiFi,-1.178
Broadband,WiFi,-1.441
Broadband,WiFi,-0.528
Broadband,WiFi,-0.598
Broadband,WiFi,1.269
Broadband,WiFi,-0.11
Broadband,WiFi,-0.755
Broadband,WiFi,3.038
Broadband,WiFi,8.851
Broadband,WiFi,1.698
Broadband,WiFi,-1.402
Broadband,WiFi,-2.808
Broadband,WiFi,-1.325
Broadband,WiFi,-1.388
Broadband,WiFi,2.814
Broadband,WiFi,-0.582
Broadband,WiFi,-0.121
Broadband,WiFi,2.617
Broadband,WiFi,0.233
Broadband,WiFi,3.106
Broadband,WiFi,-0.056
Broadband,WiFi,2.594
Broadband,WiFi,0.855
Broadband,WiFi,-1.327
Broadband,WiFi,0.448
Broadband,WiFi,2.418
Broadband,WiFi,4.637
Broadband,WiFi,-0.18
Broadband,WiFi,1.035
Broadband,WiFi,-1.831
Broadband,WiFi,-0.008
Broadband,WiFi,-0.434
Broadband,WiFi,-0.721
Broadband,WiFi,-0.25
Broadband,WiFi,-1.581
Broadband,WiFi,1.485
Broadband,WiFi,1.68
Broadband,WiFi,0.257
Broadband,WiFi,0.727
Broadband,WiFi,0.447
Broadband,WiFi,-1.966
Broadband,WiFi,3.322
Broadband,WiFi,0.879
Broadband,WiFi,0.561
Broadband,WiFi,1.713
Broadband,WiFi,-0.018
Broadband,WiFi,0.396
Broadband,WiFi,3.405
Broadband,WiFi,-0.773
Broadband,WiFi,-1.425
Broadband,WiFi,-0.123
Broadband,WiFi,1.24
Broadband,WiFi,10.949
Broadband,WiFi,1.642
Broadband,WiFi,-0.058
Broadband,WiFi,0.939
Broadband,WiFi,1.04
Broadband,WiFi,-0.011
Broadband,WiFi,-0.203
Broadband,WiFi,0.882
Broadband,WiFi,1.297
Broadband,WiFi,-2.707
Broadband,WiFi,-1.224
Broadband,WiFi,-0.051
Broadband,WiFi,-0.145
Broadband,WiFi,0.002
Broadband,WiFi,-0.657
Broadband,WiFi,
Broadband,WiFi,-21.153
Broadband,WiFi,3.871
Broadband,WiFi,1.252
Broadband,WiFi,0.87
Broadband,WiFi,-2.771
Broadband,WiFi,-7.881
Broadband,WiFi,-88.058
Broadband,WiFi,0.586
Broadband,WiFi,1.496
Broadband,WiFi,-2.786
Broadband,WiFi,0.264
Broadband,WiFi,-0.277
Broadband,WiFi,-2.13
Broadband,WiFi,0.586
Broadband,WiFi,-1.775
Broadband,WiFi,3.298
Broadband,WiFi,0.609
Broadband,WiFi,-0.718
Broadband,WiFi,2.804
Broadband,WiFi,-0.037
Broadband,WiFi,0.208
Broadband,WiFi,-0.632
Broadband,WiFi,1.971
Broadband,WiFi,4.486
Broadband,WiFi,2.669
Broadband,WiFi,4.179
Broadband,WiFi,-4.141
Broadband,WiFi,0.141
Broadband,WiFi,1.002
Broadband,WiFi,-0.874
Broadband,WiFi,0.555
Broadband,WiFi,-0.66
Broadband,WiFi,3.807
