networkClass,connectivity,timeDifferenceTo1PPSms
Broadband,WiFi,2.816
Broadband,WiFi,1.249
Broadband,WiFi,0.308
Broadband,WiFi,-0.738
Broadband,WiFi,1.172
Broadband,WiFi,-0.932
Broadband,WiFi,0.261
Broadband,WiFi,-15.079
Broadband,WiFi,0.41
Broadband,WiFi,-0.658
Broadband,WiFi,0.324
Broadband,WiFi,-0.257
Broadband,WiFi,0.4
Broadband,WiFi,0.624
Broadband,WiFi,2.195
Broadband,WiFi,-4.884
Broadband,WiFi,0.51
Broadband,WiFi,0.329
Broadband,WiFi,1.583
Broadband,WiFi,-0.594
Broadband,WiFi,-0.301
Broadband,WiFi,-3.03
Broadband,WiFi,-172.451
Broadband,WiFi,-162.723
Broadband,WiFi,-2.235
Broadband,WiFi,1.637
Broadband,WiFi,-0.494
Broadband,WiFi,-0.797
Broadband,WiFi,3.239
Broadband,WiFi,0.548
Broadband,WiFi,-1.871
Broadband,WiFi,0.912
Broadband,WiFi,2.588
Broadband,WiFi,0.584
Broadband,WiFi,-0.118
Broadband,WiFi,-0.08
Broadband,WiFi,0.0
Broadband,WiFi,-2.276
Broadband,WiFi,0.291
Broadband,WiFi,-2.553
Broadband,WiFi,-2.071
Broadband,WiFi,0.09
Broadband,WiFi,0.449
Broadband,WiFi,0.189
Broadband,WiFi,0.439
Broadband,WiFi,-1.171
Broadband,WiFi,-1.339
Broadband,WiFi,-2.126
Broadband,WiFi,-3.504
Broadband,WiFi,0.747
Broadband,WiFi,-0.303
Broadband,WiFi,6.991
Broadband,WiFi,1.411
Broadband,WiFi,0.933
Broadband,WiFi,-0.544
Broadband,WiFi,1.258
Broadband,WiFi,-3.138
Broadband,WiFi,1.153
Broadband,WiFi,-1.003
Broadband,WiFi,-21.067
Broadband,WiFi,-1.387
Broadband,WiFi,0.607
Broadband,WiFi,-0.764
Broadband,WiFi,1.948
Broadband,WiFi,-0.032
Broadband,WiFi,3.338
Broadband,WiFi,0.61
Broadband,WiFi,0.649
Broadband,WiFi,-1.886
Broadband,WiFi,0.589
Broadband,WiFi,-2.358
Broadband,WiFi,-1.491
Broadband,WiFi,-0.195
Broadband,WiFi,0.494
Broadband,WiFi,0.422
Broadband,WiFi,-0.867
Broadband,WiFi,0.482
Broadband,WiFi,1.644
Broadband,WiFi,1.045
