groupCounter,mostFrequentTimestampInGroup,tagA,tagB,timeDiffMs,timeDiffBMinusAMs,tagCntInGroup
134,1707734580,6B14,6280,0.0050,-0.0050,2
135,1707734640,6B14,6280,0.0060,-0.0060,2
136,1707734700,6B14,6280,0.0070,-0.0070,2
137,1707734760,6B14,6280,0.0050,-0.0050,2
138,1707734820,6B14,6280,0.0070,-0.0070,2
139,1707734880,6B14,6280,0.0060,-0.0060,2
140,1707734940,6B14,6280,0.0010,-0.0010,2
141,1707735000,6B14,6280,0.0070,-0.0070,2
142,1707735060,6B14,6280,0.0030,-0.0030,2
143,1707735120,6B14,6280,0.0060,-0.0060,2
144,1707735180,6B14,6280,0.0050,-0.0050,2
145,1707735240,6B14,6280,0.0080,-0.0080,2
146,1707735300,6B14,6280,0.0030,-0.0030,2
147,1707735360,6B14,6280,0.0040,-0.0040,2
148,1707735420,6B14,6280,0.0050,-0.0050,2
149,1707735480,6B14,6280,0.0040,-0.0040,2
150,1707735540,6B14,6280,0.0080,-0.0080,2
151,1707735600,6B14,6280,0.0020,-0.0020,2
152,1707735660,6B14,6280,0.0030,-0.0030,2
153,1707735720,6B14,6280,0.0070,-0.0070,2
154,1707735780,6B14,6280,0.0070,-0.0070,2
155,1707735840,6B14,6280,0.0010,-0.0010,2
156,1707735900,6B14,6280,0.0070,-0.0070,2
157,1707735960,6B14,6280,0.0040,-0.0040,2
158,1707736020,6B14,6280,0.0050,-0.0050,2
159,1707736080,6B14,6280,0.0030,-0.0030,2
160,1707736140,6B14,6280,0.0000,0.0000,2
161,1707736200,6B14,6280,0.0020,-0.0020,2
162,1707736260,6B14,6280,0.0060,-0.0060,2
163,1707736320,6B14,6280,0.0030,-0.0030,2
164,1707736380,6B14,6280,0.0010,-0.0010,2
165,1707736440,6B14,6280,0.0070,-0.0070,2
166,1707736500,6B14,6280,0.0090,-0.0090,2
167,1707736560,6B14,6280,0.0050,-0.0050,2
168,1707736620,6B14,6280,0.0080,-0.0080,2
169,1707736680,6B14,6280,0.0060,-0.0060,2
170,1707736740,6B14,6280,0.0020,-0.0020,2
171,1707736800,6B14,6280,0.0060,-0.0060,2
172,1707736860,6B14,6280,0.0040,-0.0040,2
173,1707736920,6B14,6280,0.0060,-0.0060,2
174,1707736980,6B14,6280,0.0040,-0.0040,2
175,1707737040,6B14,6280,0.0030,-0.0030,2
176,1707737100,6B14,6280,0.0030,-0.0030,2
177,1707737160,6B14,6280,0.0040,-0.0040,2
178,1707737220,6B14,6280,0.0070,-0.0070,2
179,1707737280,6B14,6280,0.0030,-0.0030,2
180,1707737340,6B14,6280,0.0100,-0.0100,2
181,1707737400,6B14,6280,0.0050,-0.0050,2
182,1707737460,6B14,6280,0.0040,-0.0040,2
183,1707737520,6B14,6280,0.0070,-0.0070,2
184,1707737580,6B14,6280,0.0060,-0.0060,2
185,1707737640,6B14,6280,0.0010,-0.0010,2
186,1707737700,6B14,6280,0.0070,-0.0070,2
187,1707737760,6B14,6280,0.0030,-0.0030,2
188,1707737820,6B14,6280,0.0060,-0.0060,2
189,1707737880,6B14,6280,0.0030,-0.0030,2
190,1707737940,6B14,6280,0.0070,-0.0070,2
191,1707738000,6B14,6280,0.0020,-0.0020,2
192,1707738060,6B14,6280,0.0080,-0.0080,2
193,1707738120,6B14,6280,0.0050,-0.0050,2
194,1707738180,6B14,6280,0.0030,-0.0030,2
195,1707738240,6B14,6280,0.0030,-0.0030,2
196,1707738300,6B14,6280,0.0050,-0.0050,2
197,1707738360,6B14,6280,0.0040,-0.0040,2
198,1707738420,6B14,6280,0.0060,-0.0060,2
199,1707738480,6B14,6280,0.0060,-0.0060,2
200,1707738540,6B14,6280,0.0080,-0.0080,2
201,1707738600,6B14,6280,0.0040,-0.0040,2
202,1707738660,6B14,6280,0.0040,-0.0040,2
203,1707738720,6B14,6280,0.0090,-0.0090,2
204,1707738780,6B14,6280,0.0030,-0.0030,2
205,1707738840,6B14,6280,0.0080,-0.0080,2
206,1707738900,6B14,6280,0.0040,-0.0040,2
207,1707738960,6B14,6280,0.0020,-0.0020,2
208,1707739020,6B14,6280,0.0060,-0.0060,2
209,1707739080,6B14,6280,0.0020,-0.0020,2
210,1707739140,6B14,6280,0.0060,-0.0060,2
211,1707739200,6B14,6280,0.0050,-0.0050,2
212,1707739260,6B14,6280,0.0030,-0.0030,2
213,1707739320,6B14,6280,0.0030,-0.0030,2
214,1707739380,6B14,6280,0.0030,-0.0030,2
215,1707739440,6B14,6280,0.0040,-0.0040,2
216,1707739500,6B14,6280,0.0090,-0.0090,2
217,1707739560,6B14,6280,0.0070,-0.0070,2
218,1707739620,6B14,6280,0.0040,-0.0040,2
219,1707739680,6B14,6280,0.0040,-0.0040,2
220,1707739740,6B14,6280,0.0080,-0.0080,2
221,1707739800,6B14,6280,0.0070,-0.0070,2
222,1707739860,6B14,6280,0.0020,-0.0020,2
223,1707739920,6B14,6280,0.0060,-0.0060,2
224,1707739980,6B14,6280,0.0040,-0.0040,2
225,1707740040,6B14,6280,0.0060,-0.0060,2
226,1707740100,6B14,6280,0.0080,-0.0080,2
227,1707740160,6B14,6280,0.0090,-0.0090,2
228,1707740220,6B14,6280,0.0050,-0.0050,2
229,1707740280,6B14,6280,0.0040,-0.0040,2
230,1707740340,6B14,6280,0.0020,-0.0020,2
231,1707740400,6B14,6280,0.0020,-0.0020,2
232,1707740460,6B14,6280,0.0060,-0.0060,2
233,1707740520,6B14,6280,0.0050,-0.0050,2
234,1707740580,6B14,6280,0.0090,-0.0090,2
235,1707740640,6B14,6280,0.0080,-0.0080,2
236,1707740700,6B14,6280,0.0060,-0.0060,2
237,1707740760,6B14,6280,0.0030,-0.0030,2
238,1707740820,6B14,6280,0.0040,-0.0040,2
239,1707740880,6B14,6280,0.0050,-0.0050,2
240,1707740940,6B14,6280,0.0090,-0.0090,2
241,1707741000,6B14,6280,0.0070,-0.0070,2
242,1707741060,6B14,6280,0.0090,-0.0090,2
243,1707741120,6B14,6280,0.0060,-0.0060,2
244,1707741180,6B14,6280,0.0020,-0.0020,2
245,1707741240,6B14,6280,0.0040,-0.0040,2
246,1707741300,6B14,6280,0.0010,-0.0010,2
247,1707741360,6B14,6280,0.0060,-0.0060,2
